ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
8C8C9D83E1E8E94C30E1BF7A66DEB426C9D6B58F_10442;42894;43148;1;25202;25502;28300;[(42894, 43148, 2790772)]
BB56627E227422AADAD81AAC593D43F7ACB5B234_13815;43259;42483;1;25204;25504;27222;[(43259, 42483, 2790514)]
564A86BC65C7440139BAB3BB964DEAD9F7E4AF1E_6643;41887;42961;1;25207;25507;28818;[(41887, 42961, 2790668)]
E8BB28B1E26FE2462A295CCCD51F3F44F01BFCF4_16903;41887;42955;1;25209;25509;29072;[(41887, 42955, 2790668)]
97D36C42C8768661A242E9CA3F72861DCF198F35_11324;42009;41911;1;25210;25510;30506;[(42009, 41340, 2791984), (41800, 41911, 2793276)]
C6D8F58252395AA4B2C4429FE593CDD3910B6ABF_14655;42009;41322;1;25212;25512;28208;[(42009, 41322, 2791984)]
F15A114CE22834B1391729080C74DAF53B75022A_17532;41050;41835;1;25212;25512;28304;[(41050, 41835, 2793444)]
EAB2CC2FE34EAF20387C1B7E3B8A69439E96E991_17037;41105;46485;1;25214;25514;26794;[(41105, 46485, 2794551)]
87EE2DBF910DD5AC030B9712CEAC408E3D0C4F78_10090;42453;46628;1;25215;25515;28026;[(42453, 46628, 2790478)]
3029DDE3B2DF0665777E722D2130685380CF8645_4002;43343;41950;1;25215;25515;26518;[(43343, 41950, 2791044)]
23FC7A84E93BAF9A8B21B42DF6A1D5EE328338FE_3089;41302;41433;1;25217;25517;27142;[(41302, 41293, 2791226), (41263, 41433, 2792473)]
8BE624246017DA864FBFDCE63814A7A92E955C8A_10392;41305;45026;1;25222;25522;26984;[(41305, 45026, 2792034)]
CD69DEE98B2F9F7C4975021346315C71AA4816AF_15048;41084;46444;1;25224;25524;27556;[(41084, 46444, 2793014)]
3B4C4B2EDE73A46D734EEE0615E12FDD79AF7D2B_4822;42089;41609;1;25226;25526;26510;[(42089, 41609, 2790291)]
95EFC943B3E37FAA65BD556CCBA3BC03ABA6FC9E_11190;41084;48139;1;25227;25527;27712;[(41084, 48139, 2793014)]
6D600B2B8E9782DD09B0DB845009CD4D0444F74B_8131;46428;41302;1;25233;25533;26528;[(46428, 41302, 2794653)]
4400A9159981BFA7AA3FAEF9A7626954E3B8A095_5389;41517;41945;1;25245;25545;27522;[(41517, 41945, 2791616)]
