trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
2791845,77537,77563,41241,1,0,0,0.61
2791910,70324,70350,41241,1,0,0,0.61
2794536,73907,73930,41241,1,0,0,0.61
2791846,77718,77723,45053,1,0,0,0.139
2791846,77732,77742,45052,2,0,0,0.267
2791846,77750,77754,45051,3,0,0,0.383
2791846,77761,77764,45050,4,0,0,0.496
2791846,77781,77785,41537,5,0,0,0.695
2791846,77801,77812,41539,6,0,0,0.874
2791846,77825,77849,46418,7,0,0,1.042
2791911,70513,70513,45052,2,0,0,0.267
2791911,70528,70528,45051,3,0,0,0.383
2791911,70543,70546,45050,4,0,0,0.496
2791911,70560,70564,41537,5,0,0,0.695
2791911,70579,70588,41539,6,0,0,0.874
2791911,70601,70625,46418,7,0,0,1.042
2794537,74120,74125,45053,1,0,0,0.139
2794537,74132,74152,45052,2,0,0,0.267
2794537,74161,74165,45051,3,0,0,0.383
2794537,74171,74174,45050,4,0,0,0.496
2794537,74187,74190,41537,5,0,0,0.695
2794537,74202,74211,41539,6,0,0,0.874
2794537,74223,74226,46418,7,0,0,1.042
2792420,76344,76364,41216,1,0,0,0.193
2792420,76418,76423,41694,2,0,0,0.619
2792420,76441,76448,41698,3,0,0,0.809
2792420,76468,76478,41700,4,0,0,1.112
2792420,76497,76507,41702,5,0,0,1.363
2792420,76527,76536,41704,6,0,0,1.638
2792420,76548,76550,46272,7,0,0,1.824
2792420,76567,76575,46273,8,0,0,2.127
2792420,76595,76597,41165,9,0,0,2.436
2792420,76610,76613,41162,10,0,0,2.642
2792420,76625,76633,41160,11,0,0,2.842
2792420,76661,76669,41158,12,0,0,3.17
2792420,76682,76685,43264,13,0,0,3.376
2792420,76694,76696,41156,14,0,0,3.549
2792420,76705,76713,41204,15,0,0,3.722
2792420,76729,76732,41202,16,0,0,3.968
2792420,76745,76747,41192,17,0,0,4.2
2792420,76754,76765,41167,18,0,0,4.321
2792420,76777,76782,41200,19,0,0,4.518
2792420,76840,76861,43039,20,0,0,5.289
2792420,76881,76884,43041,21,0,0,5.595
2792420,76902,76918,43044,22,0,0,5.839
2792420,76930,76940,43046,23,0,0,5.996
2792420,76952,76961,43049,24,0,0,6.159
2792420,76979,77023,43052,25,0,0,6.391
2792420,77047,77062,43054,26,0,0,6.67
2792420,77081,77083,42076,27,0,0,6.897
2792420,77098,77110,42097,28,0,0,7.094
2792420,77125,77134,42119,29,0,0,7.296
2792420,77148,77152,42006,30,0,0,7.515
2792420,77171,77182,45046,31,0,0,7.679
2792420,77199,77204,42028,32,0,0,7.826
2792420,77226,77237,42050,33,0,0,8.077
2792420,77263,77266,42053,34,0,0,8.398
2792420,77283,77286,42056,35,0,0,8.619
2792420,77296,77313,42058,36,0,0,8.767
2792420,77336,77338,41419,37,0,0,9.165
2792420,77426,77430,41894,38,0,0,9.936
2792420,77600,77615,41896,39,0,0,11.304
2793614,69093,69101,41216,1,0,0,0.193
2793614,69159,69165,41694,2,0,0,0.619
2793614,69183,69192,41698,3,0,0,0.809
2793614,69216,69230,41700,4,0,0,1.112
2793614,69248,69258,41702,5,0,0,1.363
2793614,69278,69285,41704,6,0,0,1.638
2793614,69297,69300,46272,7,0,0,1.824
2793614,69319,69326,46273,8,0,0,2.127
2793614,69345,69348,41165,9,0,0,2.436
2793614,69358,69362,41162,10,0,0,2.642
2793614,69371,69378,41160,11,0,0,2.842
2793614,69401,69416,41158,12,0,0,3.17
2793614,69430,69433,43264,13,0,0,3.376
2793614,69441,69444,41156,14,0,0,3.549
