ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0010FA48C564239A6F56EF49A3F4F4FEC909A117_9;47031;41813;1;33344;33644;34774;[(47031, 41813, 2790978)]
0097C444EC9A235AC0F8EE0B2C98175AB89CA1CF_42;41359;42110;1;29211;29511;30832;[(41359, 42110, 2793705)]
00BA0EBB6138630A0B575D9D224E5647BB37798C_57;41333;41322;1;30490;30790;31548;[(41333, 41322, 2793235)]
00BD0CEB57F02E0131DF0B75E141011FF84FEF84_58;42413;46499;1;25941;26241;27644;[(42413, 46499, 2794676)]
00DA52F08BEE4CB926A4B02E7F3B57CBDA1D6809_71;41229;41461;1;28999;29299;30650;[(41229, 41461, 2792701)]
0124BAE2E9AE4AEA08616CAC889A8C7F5B89A066_85;41965;41268;1;25499;25799;26902;[(41965, 41268, 2791044)]
0126BB8F717CF88C4CDFC810EF4199FEB57FF319_87;41881;43900;1;28485;28785;31136;[(41881, 43900, 2793806)]
013CC22E3643F6F6C66BE0164CB1030C33F657A7_88;45030;42869;1;28748;29048;30406;[(45030, 42869, 2790778)]
01B4DED1CA633999E37D15DA8E9AF644317E4838_105;42912;42957;1;25640;25940;27954;[(42912, 42957, 2793135)]
01D4A7D53726CCD00BB7B2E2C8DCF658213A5ED2_113;41842;41798;1;26910;27210;27932;[(41842, 41798, 2790239)]
01ECF63D4FBD1C8D28FC1D2A90AF21A18352EC36_118;41370;43510;1;27590;27890;28552;[(41370, 43510, 2791930)]
020B5FD4CF18827D00237EF054E47ACBA3E741C4_126;46167;46182;1;28203;28503;29666;[(46167, 46182, 2791759)]
023FD1D871456D4A19089B9C75C17D3D826B01DE_148;42430;43928;1;28839;29139;30578;[(42430, 43928, 2789968)]
028FDD227F8ADF97748618F7D0E23359CBD332F7_173;41677;46470;1;35572;35872;37282;[(41677, 46470, 2790653)]
029320EE4FA267A5E451106E5EE5F18C5EBA84A1_175;41089;48139;1;25691;25991;28632;[(41089, 48139, 2793225)]
0301039C3740CAE17665FBAC3BC62DDC173B342F_204;43506;46205;1;27774;28074;30340;[(43506, 46205, 2791930)]
