ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
00541A787C307491C18E396238AF62D411E62968_27;41395;42140;1;78165;78465;80808;[(41395, 42140, 2793312)]
024CF3AA890559D59E5C2790448D1605AFDBC253_154;42516;46322;1;76530;76830;78582;[(42516, 46322, 2794326)]
02500666965B2956DB0ADFF1B9116315A45F70A7_156;43421;43020;1;72035;72335;73426;[(43421, 43020, 2791464)]
02C251CACF291ADB9A8DCA0AA0D323B2307833D4_189;41845;41832;1;76532;76832;77636;[(41845, 41832, 2793286)]
03910E915C464182AA130C779102DAD390E489ED_239;43510;42576;1;73107;73407;75708;[(43510, 42576, 2792013)]
040025EF65018CBFE1EA73C00686041B5DE73697_266;41937;42008;1;77650;77950;81118;[(41937, 42008, 2793312)]
041ABE458629E8DC9D3358116313B4D818414404_275;41937;43509;1;76507;76807;77628;[(41937, 43509, 2794174)]
0466AD355EDDC34D9D2D15A741B35C429E26E5D7_301;41371;41343;1;70212;70512;71676;[(41371, 41343, 2793936)]
05981C08BB5E0F427027F078752DC7081C23C558_381;41505;41373;1;75923;76223;78780;[(41505, 41373, 2794174)]
05A54D8E3AB3A475B1189CCC36D08CFF868342E8_388;42832;41999;1;76344;76644;79808;[(42832, 41999, 2794174)]
05D8AFE4162717F2CB5CEC9D9954411C66AA08EB_399;41965;41501;1;77547;77847;79350;[(41965, 41501, 2791466)]
06B0B805A3666FC07BD5E4C403473D654C5A2363_457;42453;46628;1;70175;70475;72558;[(42453, 46628, 2793849)]
06DA10B09972FED56E57BD75FAA38030B9E9B73D_465;41371;41322;1;77374;77674;78864;[(41371, 41322, 2793695)]
0723688ED18769D78FD9DCE2F15D3BD695A2959B_487;42636;42261;1;77883;78183;79683;[(42636, 42261, 2790743)]
0877E2424371F990B6FFDFF04625712F3026FEDF_581;43249;41744;1;69335;69635;70596;[(43249, 41744, 2793794)]
091640ADC307E223297FD5FD43676506D3AFE354_642;41796;42526;1;78330;78630;79650;[(41796, 42526, 2794416)]
095DDFDC8BFAF013C459E12CAA6CC8F6C77C9778_660;41371;41354;1;70210;70510;71554;[(41371, 41354, 2793936)]
09E163F1CC38D310516194F2F3AFB37A7B540A89_701;44063;46195;1;77310;77610;78883;[(44063, 46195, 2794077)]
0A0BD70F9A122614364DCCFB1EC1770AA9318478_714;45059;43510;1;68467;68767;72184;[(45059, 43510, 2793936)]
0AA5EA6C3F71ECC01C30C5CED4F8836A8A410A5A_758;41770;41681;1;76556;76856;78440;[(41770, 41681, 2793420)]
0AC051CCD16E96B34CD2715F0AA9629C5987F6E8_765;41393;41999;1;78171;78471;79808;[(41393, 41999, 2794174)]
0B15281749FD930EC52EC958B6E61991D532AC78_787;43146;43382;1;75628;75928;77098;[(43146, 43382, 2793420)]
0B8384E07796AB385263FE084A7C4F031A28D883_821;41394;42562;1;69890;70190;71172;[(41394, 42562, 2794453)]
0C251D5914957D4449E6EB454D0044FA00218228_876;44061;41450;1;76283;76583;77898;[(44061, 41450, 2793420)]
0C2B7B031ECDDA0D1629B83882443F174086CE8C_879;42730;42726;1;73047;73347;73984;[(42730, 42726, 2794249)]
0D2ECDEECE8E9D5BB9E7F150D8EFBA02856694BB_941;41965;42915;1;77544;77844;80466;[(41965, 42915, 2791466)]
0D510480A4C71A8868FB681B6FD2FCFA335023D2_948;41998;41392;1;69104;69404;70758;[(41998, 41392, 2793936)]
0DC6AFFDAAB6C51C3F3D275F3BFCB5E5EE5FA690_974;41555;43981;1;70956;71256;72414;[(41555, 43981, 2794157)]
0DD1E5109A6B20FDD1F283CDC25EF6D7BCDE1486_977;46635;42552;1;70121;70421;71490;[(46635, 42552, 2793794)]
0EB4F2B5BC879ECCD3A317DFF5E5FC4F5CEB09FC_1017;43507;42411;1;76663;76963;80182;[(43507, 42411, 2794174)]
0EECA884CD08306F88CCCE82A8014E73238F33F9_1036;41448;41759;1;71617;71917;73376;[(41448, 41759, 2794352)]
