stop_id,stop_name,stop_lon,stop_lat
40002,TERMINUS H.-BOURASSA,-73.667207,45.555819
40031,TERMINUS H.-BOURASSA,-73.669931,45.555748
40052,TERMINUS H.-BOURASSA,-73.669931,45.555748
40055,TERMINUS H.-BOURASSA,-73.669931,45.555748
40102,TERMINUS H.-BOURASSA,-73.667289,45.556091
40131,TERMINUS H.-BOURASSA,-73.669931,45.555748
40144,METRO COTE VERTU,-73.682704,45.513238
40151,METRO COTE VERTU,-73.682512,45.513373
40152,TERMINUS H.-BOURASSA,-73.669931,45.555748
40155,TERMINUS H.-BOURASSA,-73.669931,45.555748
40244,METRO COTE-VERTU,-73.682685,45.513244
40251,METRO COTE-VERTU,-73.682513,45.513369
40252,TERMINUS H.-BOURASSA,-73.669931,45.555748
40253,TERMINUS H.-BOURASSA,-73.669931,45.555748
40802,METRO COTE-VERTU,-73.682252,45.513605
40902,METRO COTE VERTU,-73.682257,45.513607
40925,METRO RADISSON,-73.540035,45.589823
40935,MÉTRO RADISSON,-73.539359,45.589521
41004,LANGEAIS/GASCOGNE,-73.710041,45.576805
41005,AMPERE/NOIRMOUTIER,-73.706666,45.559538
41006,METRO CONCORDE,-73.70785,45.561048
41008,AMPERE/NOIRMOUTIER,-73.70632,45.559476
41009,LACASSE/D'AVEIRO,-73.728413,45.631258
41010,LACASSE/DE GAP,-73.731328,45.628949
41011,LACASSE/R.-LAENNEC,-73.733222,45.628009
41012,R-LAENNEC/PRUDENTIEL,-73.729708,45.624966
41013,R-LAENNEC/ALADIN,-73.725757,45.621303
41014,R-LAENNEC/BELLEROSE,-73.724019,45.619695
41015,R-LAENNEC/DE LAUSANNE,-73.724984,45.620593
41016,PRUDENTIEL/ MONTÉVIDEO,-73.721653,45.624658
41017,PRUDENTIEL/GIRONDE,-73.722679,45.626179
41018,CARREFOUR/CORBUSIER,-73.741985,45.572103
41020,A.-GOLDBLOOM/DALE,-73.738238,45.546618
41022,A.-GOLDBLOOM/HOPITAL,-73.736984,45.548421
41028,AVENIR/SOUVENIR,-73.722045,45.561381
41029,4E AV./5E AV.,-73.770549,45.642648
41030,5E AV./12E AV.,-73.770294,45.640354
41031,5E AV./8E AV.,-73.770555,45.641352
41032,4E AV./7E AV.,-73.769792,45.64274
41033,12E AV./PARC-DES-ERABLES,-73.769447,45.640194
41039,12E AV. / 19E RUE,-73.703081,45.566834
41040,12E AV. / 19E RUE,-73.703414,45.56686
41041,12E AV./SOUVENIR,-73.7056,45.569187
41042,12E AV./COTE AZUR,-73.705496,45.568692
41043,12E AV./BOURGES,-73.702064,45.565657
41045,COUSTEAU/S. ROSE,-73.842047,45.567654
41046,COUSTEAU/SEGUIN,-73.844496,45.570184
41047,43E AV./SEGUIN,-73.838313,45.57319
41048,43E AV./FACE AU 987,-73.836651,45.571503
41049,43E AV./FACE AU 990,-73.836714,45.571386
41050,STE.-ROSE/SAURIOL,-73.834243,45.569487
41056,100E AV./SAMSON,-73.75967,45.528575
41057,100E AV./N. DAME,-73.765005,45.535968
41058,100E AV./SAMSON,-73.759795,45.5285
41059,100E AV./4E RUE,-73.761278,45.530182
41060,100E AV./4E RUE,-73.76156,45.530253
41061,100E AV./9E RUE,-73.762783,45.53169
41062,100E AV./9E RUE,-73.763219,45.531914
41063,100E AV./MONTCALM,-73.764216,45.534359
41064,100E AV./MONTCALM,-73.764409,45.534494
41067,BELGRADE/C.-DELAGE,-73.741974,45.614395
41068,TERMINUS BIENVILLE,-73.750143,45.657848
41070,LAURENTIDES/J.-COUTU,-73.748252,45.651085
41071,BELGRADE/LAURENTIDES,-73.740576,45.615278
41072,BELGRADE/GRUYERES,-73.737856,45.616833
41073,BELGRADE/PRUDENTIEL,-73.735705,45.617683
41074,BELGRADE/GRUYERES,-73.737919,45.616608
41076,BELGRADE/O.-CHAUVEAU,-73.748234,45.612204
41077,BELGRADE/O.-CHAUVEAU,-73.74785,45.612205
41078,BELGRADE/RIO,-73.746263,45.612946
41080,BELLEHUMEUR/LAURENTIDES,-73.754474,45.645214
41081,BELLEHUMEUR/FACE AU 7340,-73.755151,45.64739
41082,BELLEHUMEUR/FACE AU 7365,-73.755279,45.647434
41083,BELLEHUMEUR/BROCHU,-73.755815,45.649575
41084,BELLEROSE/VOSGES,-73.724235,45.619218
41085,BELLEROSE/FACE AU 36,-73.738954,45.609175
41086,BELLEROSE/LAURENTIDES,-73.737214,45.610544
41087,BELLEROSE/LAURENTIDES,-73.736983,45.610428
41088,BELLEROSE/FACE AU 39,-73.73907,45.609328
41089,BELLEROSE/MARC,-73.732786,45.612659
41091,BELLEROSE/LORCA,-73.730306,45.61423
41092,BELLEROSE/PALERME,-73.727812,45.615792
41093,BELLEROSE/PALERME,-73.727944,45.615464
41094,BELLEROSE/LAURENTIDES,-73.735564,45.611493
41095,BELLEROSE/RUCHER,-73.725614,45.617704
41096,BELLEROSE/MARC,-73.732775,45.612947
41097,BELLEROSE/LORCA,-73.730384,45.614491
41098,BELLEROSE/RUCHER,-73.725782,45.618018
41099,BELLEROSE/VOSGES,-73.724569,45.619343
41101,BELLEVILLE/S. GERMAIN,-73.65161,45.61114
41102,BELLEVILLE/S.-COTE,-73.653779,45.613359
41104,BELLEVILLE/S.-COTE,-73.654013,45.613332
41105,BELLEVILLE/L.-ABEL,-73.647115,45.607326
41106,BELLEVILLE/L.-ABEL,-73.647343,45.607303
41107,BELLEVILLE/BEAUSOLEIL,-73.64913,45.609155
41108,BELLEVILLE/BEAUSOLEIL,-73.649489,45.609244
41109,BELLEVILLE/S. JOSEPH,-73.650325,45.610224
41110,BELLEVILLE/S. JOSEPH,-73.65062,45.610269
