ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
00DA52F08BEE4CB926A4B02E7F3B57CBDA1D6809_71;41229;41461;1;28999;29299;30650;[(41229, 41461, 2792701)]
028CCD87569369B4FDE6B844ED4CCA2754BC8746_172;43150;43137;1;29454;29754;31084;[(43150, 43137, 2793176)]
052BC30B31141823A68A805C2274709DAC7F5192_354;46591;41291;1;31275;31575;32517;[(46591, 41291, 2790096)]
0A1FEBE4D404274ECB8AFBDF2E5549944744162C_724;45026;43148;1;25354;25654;27478;[(45026, 43148, 2792724)]
0ACC85DA9E23D82BAE6DE958F20DA5B381964046_771;43116;43137;1;29706;30006;31084;[(43116, 43137, 2793176)]
0ECCE95B4E278339AD4DBD184457E4D37F67D53B_1027;43432;42509;1;28489;28789;29604;[(43432, 42509, 2791924)]
113D9F49ED150A3C895372214763DB3AC62BC23A_1294;41887;41807;1;34232;34532;35440;[(41887, 41807, 2792448)]
12077BFAB512341B9FEB62C28459A03A8731EA17_1355;45042;43343;1;27535;27835;28738;[(45042, 43343, 2790417)]
12D344EF8D2C82367CA9D1C0CE0FF38AD3954AB3_1438;41678;42434;1;26227;26527;27596;[(41678, 42434, 2790650)]
14E383D6518B108BC534131A8E7EEA49C3A17C52_1654;43184;46304;1;30329;30629;32286;[(43184, 46304, 2792726)]
1648633761_1868;41605;41608;1;25816;26116;26826;[(41605, 41608, 2790650)]
1648633762_1869;41605;41681;1;25827;26127;27536;[(41605, 41681, 2790650)]
1648633763_1870;46424;41450;1;25990;26290;26986;[(46424, 41450, 2790650)]
1653AF6502F2C2C5AFE563DF32BBD05EA3BB7555_1880;42729;46304;1;26813;27113;28908;[(42729, 46304, 2790348)]
174632A3C45DF59FE88C63FA417B13D24F850B3C_2024;42916;44913;1;26348;26648;28902;[(42916, 44913, 2793724)]
1748736966_2035;41865;41800;1;34205;34505;35254;[(41865, 41800, 2792448)]
1748736967_2036;41804;43007;1;34491;34791;36916;[(41804, 43007, 2792448)]
1748736970_2037;41862;42895;1;35593;35893;36762;[(41862, 42895, 2792448)]
19B637D6CC87CC224175230688578D2F80B9EA2A_2378;46288;42956;1;26003;26303;27820;[(46288, 42956, 2793724)]
1CAF88282DDAFB0111E69DD14B128E768BD29871_2567;41312;43137;1;29371;29671;31084;[(41312, 43137, 2793176)]
2024072E37F40459DA577F703BFCCAFF705691D3_2798;41887;43343;1;26870;27170;28738;[(41887, 43343, 2790417)]
219B19D124127F8FC69C6FBD1357194CDA90189A_2921;41895;41301;1;31084;31384;32361;[(41895, 41301, 2790096)]
2698DB2A649A4E7A40C1F42CB8A12CA5CD8F415B_3312;41888;41847;1;30718;31018;32212;[(41888, 41847, 2791277)]
2862D68D3688D6A3408E29E1C5D65F6F8BAB7649_3437;41448;41304;1;26052;26352;27432;[(41448, 41304, 2790650)]
2962DDDEBBF5627317EE303104CCE6B311FE251F_3497;41802;41848;1;34448;34748;36246;[(41802, 41848, 2792448)]
302A922E0CA8AC8BA36575F0C9C368F03421676A_4005;41881;41861;1;26057;26357;27260;[(41881, 41861, 2790348)]
