trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
2790525,64218,64231,45053,1,0,0,0.139
2790525,64232,64246,45052,2,0,0,0.267
2790525,64254,64257,45051,3,0,0,0.383
2790525,64262,64265,45050,4,0,0,0.496
2790525,64277,64280,41537,5,0,0,0.695
2790525,64291,64301,41539,6,0,0,0.874
2790525,64313,64313,46418,7,0,0,1.042
2790425,67740,67764,41899,1,0,0,1.846
2790425,67904,67945,41897,2,0,0,2.735
2790425,68155,68177,41895,3,0,0,4.154
2790425,68262,68284,41431,4,0,0,5.193
2790706,58617,58655,41899,1,0,0,1.846
2790706,58777,58791,41897,2,0,0,2.735
2790706,58897,58917,41895,3,0,0,4.154
2790706,58994,59013,41431,4,0,0,5.193
2790706,59113,59142,41263,5,0,0,5.676
2790706,59180,59200,41461,6,0,0,5.99
2790706,59240,59245,41463,7,0,0,6.26
2790706,59270,59286,41410,8,0,0,6.405
2790706,59308,59333,41412,9,0,0,6.623
2790706,59366,59423,41414,10,0,0,6.95
2790706,59452,59475,41416,11,0,0,7.264
2790706,59499,59504,41417,12,0,0,7.523
2790706,59521,59526,41421,13,0,0,7.719
2790706,59561,59588,41424,14,0,0,8.072
2790706,59683,59701,41426,15,0,0,8.377
2790706,59783,59786,41428,16,0,0,8.609
2790706,59805,59823,41430,17,0,0,8.912
2790706,59836,59849,41433,18,0,0,9.093
2790706,59920,59943,41435,19,0,0,9.32
2790706,59959,59964,41437,20,0,0,9.507
2790706,59990,60003,41439,21,0,0,9.885
2790706,60015,60018,41441,22,0,0,10.071
2790706,60058,60061,43266,23,0,0,10.788
2790706,60075,60078,41444,24,0,0,11.036
2790706,60095,60098,46424,25,0,0,11.271
2790706,60109,60112,46307,26,0,0,11.479
2790706,60132,60145,41446,27,0,0,11.786
2790706,60165,60184,41448,28,0,0,12.04
2790706,60279,60303,41450,29,0,0,12.436
2790706,60316,60333,43390,30,0,0,12.592
2790706,60350,60362,41452,31,0,0,12.809
2790706,60456,60459,46308,32,0,0,13.588
2790706,60481,60484,41454,33,0,0,13.886
2790706,60498,60510,46620,34,0,0,14.134
2790706,60529,60533,41456,35,0,0,14.276
2790706,60550,60553,41458,36,0,0,14.54
2790706,60645,60649,46317,37,0,0,15.014
2790706,60668,60671,46277,38,0,0,15.363
2790706,60682,60685,46278,39,0,0,15.558
2790706,60728,60733,46319,40,0,0,15.998
2790706,60746,60758,42999,41,0,0,16.169
2790706,60778,60789,43002,42,0,0,16.351
2790706,60816,60829,43004,43,0,0,16.66
2790706,60909,60931,43008,44,0,0,16.973
2790706,60950,60969,42886,45,0,0,17.228
2790706,60981,60993,42888,46,0,0,17.38
2790706,61012,61025,41548,47,0,0,17.582
2790706,61033,61036,41550,48,0,0,17.699
2790706,61046,61055,41552,49,0,0,17.842
