route_id,service_id,trip_id,shape_id,trip_short_name
12E,Sem,2790194,12E,12
12E,Sem,2790301,12E,12
12E,Sem,2790524,12E,12
12E,Sem,2790829,12E,12
12E,Sem,2791005,12E,12
12E,Sem,2791040,12E,12
12E,Sem,2791204,12E,12
12E,Sem,2791845,12E,12
12E,Sem,2791910,12E,12
12E,Sem,2792201,12E,12
12E,Sem,2792750,12E,12
12E,Sem,2792839,12E,12
12E,Sem,2792897,12E,12
12E,Sem,2792978,12E,12
12E,Sem,2793318,12E,12
12E,Sem,2793544,12E,12
12E,Sem,2793729,12E,12
12E,Sem,2793837,12E,12
12E,Sem,2794221,12E,12
12E,Sem,2794259,12E,12
12E,Sem,2794536,12E,12
12E,Sem,2794616,12E,12
12O,Sem,2790195,12O,12
12O,Sem,2790302,12O,12
12O,Sem,2790525,12O,12
12O,Sem,2790830,12O,12
12O,Sem,2791006,12O,12
12O,Sem,2791041,12O,12
12O,Sem,2791205,12O,12
12O,Sem,2791846,12O,12
12O,Sem,2791911,12O,12
12O,Sem,2792202,12O,12
12O,Sem,2792751,12O,12
12O,Sem,2792840,12O,12
12O,Sem,2792898,12O,12
12O,Sem,2792979,12O,12
12O,Sem,2793319,12O,12
12O,Sem,2793545,12O,12
12O,Sem,2793730,12O,12
12O,Sem,2793838,12O,12
12O,Sem,2794222,12O,12
12O,Sem,2794260,12O,12
12O,Sem,2794537,12O,12
12O,Sem,2794617,12O,12
144E,Sem,2790177,144E,144
144E,Sem,2790357,144E,144
144E,Sem,2790532,144E,144
144E,Sem,2790672,144E,144
144E,Sem,2790676,144E,144
144E,Sem,2790699,144E,144
144E,Sem,2790703,144E,144
144E,Sem,2791002,144E,144
144E,Sem,2791021,144E,144
144E,Sem,2791240,144E,144
144E,Sem,2791342,144E,144
144E,Sem,2791397,144E,144
144E,Sem,2791401,144E,144
144E,Sem,2791831,144E,144
144E,Sem,2791884,144E,144
144E,Sem,2791898,144E,144
144E,Sem,2792055,144E,144
144E,Sem,2792111,144E,144
144E,Sem,2792194,144E,144
144E,Sem,2792232,144E,144
144E,Sem,2792289,144E,144
144E,Sem,2792331,144E,144
144E,Sem,2792420,144E,144
