trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
2790301,27744,27767,41241,1,0,0,0.61
2792201,25327,25351,41241,1,0,0,0.61
2792839,33458,33478,41241,1,0,0,0.61
2792978,30488,30511,41241,1,0,0,0.61
2790302,27902,27902,45052,2,0,0,0.267
2790302,27921,27921,45051,3,0,0,0.383
2790302,27940,27953,45050,4,0,0,0.496
2790302,27966,27969,41537,5,0,0,0.695
2790302,27982,27991,41539,6,0,0,0.874
2790302,28003,28035,46418,7,0,0,1.042
2792202,25482,25486,45053,1,0,0,0.139
2792202,25495,25514,45052,2,0,0,0.267
2792202,25521,25525,45051,3,0,0,0.383
2792202,25531,25534,45050,4,0,0,0.496
2792202,25548,25551,41537,5,0,0,0.695
2792202,25566,25576,41539,6,0,0,0.874
2792202,25588,25611,46418,7,0,0,1.042
2792840,33601,33628,45053,1,0,0,0.139
2792840,33636,33644,45052,2,0,0,0.267
2792840,33652,33655,45051,3,0,0,0.383
2792840,33660,33663,45050,4,0,0,0.496
2792840,33673,33676,41537,5,0,0,0.695
2792840,33687,33695,41539,6,0,0,0.874
2792840,33706,33739,46418,7,0,0,1.042
2792979,30665,30679,45053,1,0,0,0.139
2792979,30688,30718,45052,2,0,0,0.267
2792979,30726,30729,45051,3,0,0,0.383
2792979,30735,30739,45050,4,0,0,0.496
2792979,30753,30756,41537,5,0,0,0.695
2792979,30769,30790,41539,6,0,0,0.874
2792979,30802,30806,46418,7,0,0,1.042
2790177,33038,33052,41216,1,0,0,0.193
2790177,33117,33132,41694,2,0,0,0.619
2790177,33151,33159,41698,3,0,0,0.809
2790177,33186,33205,41700,4,0,0,1.112
2790177,33226,33235,41702,5,0,0,1.363
2790177,33256,33269,41704,6,0,0,1.638
2790177,33281,33284,46272,7,0,0,1.824
2790177,33306,33314,46273,8,0,0,2.127
2790177,33336,33339,41165,9,0,0,2.436
2790177,33352,33355,41162,10,0,0,2.642
2790177,33367,33376,41160,11,0,0,2.842
2790177,33403,33417,41158,12,0,0,3.17
2790177,33431,33434,43264,13,0,0,3.376
2790177,33444,33447,41156,14,0,0,3.549
2790177,33457,33465,41204,15,0,0,3.722
2790177,33482,33485,41202,16,0,0,3.968
2790177,33499,33502,41192,17,0,0,4.2
2790177,33510,33523,41167,18,0,0,4.321
