ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
00003877119BEEE78B8208513CAB67A4EA7D4B75_0;41288;41302;1;56390;56690;57414;[(41288, 41302, 2792136)]
000F38BBC78E85F997A07AE7089B058C81D6B6B6_6;43506;46198;1;51860;52160;54270;[(43506, 46198, 2790330)]
0010A1243626509979734A180486783F5D61B25D_8;41555;41468;1;49877;50177;51020;[(41555, 41468, 2791470)]
0015D39951DD3520328E414AF348CB919FBF53D4_10;41431;43109;1;49065;49365;51294;[(41431, 46603, 2790351), (43134, 43109, 2792965)]
00323A982828E45A4AB2A352AC226971B10B685C_18;42448;41343;1;51112;51412;54746;[(42448, 41343, 2792135)]
00521DB029B8D96C438C81193CAFFDE72EAD1BBE_25;41897;41450;1;56644;56944;59392;[(41897, 41450, 2793547)]
008BDC4C3381CD5266E78E69C8DAA1270F222281_36;43148;41854;1;53467;53767;56782;[(43148, 41854, 2792438)]
0090E0A7991A4E9C03DCA82034D0A4BF8FCE4F1B_38;41877;41853;1;47271;47571;48628;[(41877, 41853, 2792042)]
0096D912D9213C1A8ECB0BF6BE016091B575DBBD_41;42704;42714;1;51622;51922;52648;[(42704, 42714, 2791763)]
00A14C2A48E30C6A5F3565CB9ABFA4259F08C4C2_44;42175;41322;1;48943;49243;52394;[(42175, 41322, 2790818)]
00AF59E37E2AED8D8E858183B92B474BD63B2E8C_51;42911;41851;1;51870;52170;53230;[(42911, 41851, 2793767)]
00AF59E37E2AED8D8E858183B92B474BD63B2E8C_52;41848;41864;1;53015;53315;54466;[(41848, 41864, 2790115)]
00B41216313A963062908BDD495FC505EECFAC2F_56;46505;41462;1;55805;56105;57876;[(46505, 41462, 2790758)]
00C06564B3D4BF419B9371BD939B1691ED73C718_62;46102;48139;1;55588;55888;61530;[(46102, 41860, 2792340), (41857, 48139, 2791765)]
00D059A0055061520FE51CB7C6775FC89C102701_66;46458;42534;1;49400;49700;50710;[(46458, 42534, 2793555)]
011C598CBFD71F634B9CBB2EAA25D34711473980_76;44903;46295;1;48041;48341;50874;[(44903, 46295, 2791801)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_80;41423;42510;1;47445;47745;48726;[(41423, 42510, 2792003)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_81;42511;41424;1;54961;55261;56168;[(42511, 41424, 2793425)]
0122CE614A0020F2A99B90DC033921AB8CAB2C94_82;41423;41894;1;57065;57365;61256;[(41423, 42481, 2793339), (41415, 41894, 2792844)]
017ABCFD4A00B5C48DA25BDD2B9D0EF2359760E4_96;41869;41873;1;47253;47553;48202;[(41869, 41873, 2794614)]
0190770D8BC74B0033BC408CEDA3C2B05987B948_99;42840;48150;1;51366;51666;52714;[(42840, 48150, 2794624)]
01AD7705A1C3FF97247ED5152FF3008A6AB15322_103;41155;41701;1;50020;50320;51334;[(41155, 41701, 2791400)]
01C0B2DD00A55F8AF39B3FEA5F2CE7F683DD9B52_107;41348;42528;1;55378;55678;56434;[(41348, 42528, 2792224)]
01C13836EF630CF36B31378353F35F0408942CED_109;41127;41917;1;54682;54982;56150;[(41127, 41917, 2789991)]
01DE7AF26CA81D6D5177E0A317C57BE84710C019_114;41369;42112;1;51158;51458;52620;[(41369, 42112, 2792047)]
01EB1F72086715804E8AAECE33221D5DA3C1BF3F_117;41395;41339;1;50294;50594;51492;[(41395, 41339, 2792047)]
01ED9277076EC7358EC022EBE814C8564345C89E_119;41345;41328;1;49999;50299;51112;[(41345, 41328, 2791263)]
02198BE333096DB4AFF74ACD0994FF524EC768DB_135;42873;41612;1;56383;56683;57656;[(42873, 41612, 2790065)]
0232ED2EBBC8528C82AD370C74CF8717863AD42B_141;42004;41322;1;47281;47581;50140;[(42004, 41322, 2791060)]
023ECD2AF02398EB8600BEC20B5977BF663E3186_147;46529;42411;1;57417;57717;59252;[(46529, 42411, 2792459)]
025DF052059C7D8F015B2F81CA77722E9AF1314E_159;41796;46412;1;52970;53270;56478;[(41796, 46412, 2791941)]
0264F2B093F253859EF3CC0B56A366DBD54F2B6D_164;46629;41393;1;47551;47851;48644;[(46629, 41393, 2791811)]
026514F384A367BE2180E66148450D59D918E4F7_165;47031;41873;1;51731;52031;54870;[(47031, 41873, 2791078)]
027FE3A4E7552663B827CAFFE2BACD8DA7C897FD_167;43302;42829;1;47104;47404;51154;[(43302, 41393, 2791811), (41394, 42829, 2791060)]
027FE3A4E7552663B827CAFFE2BACD8DA7C897FD_168;42828;42184;1;52100;52400;56722;[(42828, 42184, 2790603)]
0285CB730EA52C49F70C50B4F063B865C1AD2FFD_171;48039;42715;1;48073;48373;50300;[(48039, 42715, 2791762)]
028FDD227F8ADF97748618F7D0E23359CBD332F7_174;43295;46326;1;50814;51114;52564;[(43295, 46326, 2791103)]
02E4D30D1845A42A96F93D7ED933EBFE336E001B_197;43922;43148;1;57205;57505;59610;[(43922, 43148, 2790044)]
0308C394264EE6BD71B2EE1ECE8575FE011CC1DA_210;41328;41957;1;56468;56768;58042;[(41328, 41957, 2792048)]
031BB40D5A93E9F5BBEBE2E7C76D7F9D1CB2083F_213;43506;44063;1;55428;55728;57080;[(43506, 44063, 2793009)]
031D948B10D192505C645D8311CD6A380272D5CB_214;41842;46314;1;48888;49188;51468;[(41842, 46314, 2793594)]
0323587B6B07DDBD72CA122642495B7E03EA0F30_216;42718;43996;1;48229;48529;49472;[(42718, 43996, 2793437)]
032C0B9FEE6434D46BD6ED7817F9BAE410084F91_217;43110;43144;1;51293;51593;52788;[(43110, 43144, 2792966)]
033ED86CB7A993C5FEA3D43AEDD235D23D1EDB61_221;47031;41798;1;53201;53501;54556;[(47031, 41798, 2792164)]
