ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0097C444EC9A235AC0F8EE0B2C98175AB89CA1CF_42;41359;42110;1;29211;29511;30832;[(41359, 42110, 2793705)]
00BD0CEB57F02E0131DF0B75E141011FF84FEF84_58;42413;46499;1;25941;26241;27644;[(42413, 46499, 2794676)]
0126BB8F717CF88C4CDFC810EF4199FEB57FF319_87;41881;43900;1;28485;28785;31136;[(41881, 43900, 2793806)]
01C0B2DD00A55F8AF39B3FEA5F2CE7F683DD9B52_106;42527;42520;1;26711;27011;27692;[(42527, 42520, 2791823)]
01D4A7D53726CCD00BB7B2E2C8DCF658213A5ED2_113;41842;41798;1;26910;27210;27932;[(41842, 41798, 2790239)]
028FDD227F8ADF97748618F7D0E23359CBD332F7_173;41677;46470;1;35572;35872;37282;[(41677, 46470, 2790653)]
038E7C4ADE92EA51B1FED0ED9DE800860017399B_238;41342;41395;1;26190;26490;27276;[(41342, 41395, 2789987)]
03A1E5B11B494F465F7A69FDDA3A7FF3D7A44824_243;41414;41435;1;32943;33243;34280;[(41414, 41435, 2792319)]
03A1E5B11B494F465F7A69FDDA3A7FF3D7A44824_244;41436;41415;1;34735;35035;36096;[(41436, 41415, 2792334)]
03CFCD5E1ACE98F57DEAC68F24A6452151705DAA_255;41302;41442;1;27228;27528;28332;[(41302, 41442, 2794543)]
052BC30B31141823A68A805C2274709DAC7F5192_354;46591;41291;1;31275;31575;32517;[(46591, 41291, 2790096)]
063E942744DAD94F591BA8DF48D0483E9E4D404A_424;46436;42911;1;35272;35572;36944;[(46436, 42911, 2794613)]
064420D55E1858EABF99685F42A0EB67B98FE848_426;46166;44163;1;27057;27357;29184;[(46166, 44163, 2791478)]
0699C837A96C8625C86D66CB31BD9F47C6A8B1DD_452;41364;41322;1;25601;25901;27112;[(41364, 41322, 2791944)]
06B500C6E3461405FBF354C9271530D78C7175B2_459;45042;48150;1;33368;33668;34634;[(45042, 48150, 2790184)]
07195BAE1E9984873A082B44CC0119D1EEB4F989_485;46114;46117;1;32432;32732;33458;[(46114, 46117, 2790184)]
081A47F8EA6D45E2144F8948762E3D18B14D52FB_562;42600;42614;1;29923;30223;31016;[(42600, 42614, 2793322)]
0845592438A90E6413262EF43873FA07D18770A7_575;42852;41612;1;25585;25885;27638;[(42852, 41612, 2792873)]
096879CEA84E404E02F5784E9E9AB99AE5CA18E5_665;48039;42850;1;29530;29830;30938;[(48039, 42850, 2793073)]
097987D0F98D4ECF24DCA55EA853F89F782EB972_672;42168;41917;1;28811;29111;29844;[(42168, 41917, 2791833)]
09A7AF3CC2439994934797C2D4A32700BE02DDED_680;46425;46304;1;29469;29769;31200;[(46425, 46304, 2793806)]
0AA29FABEE3D0E1FFE8606CBBBA462C2074F93ED_752;44056;46149;1;34578;34878;36124;[(44056, 46149, 2791074)]
0B27C08264BD50326D8699B87BE8C9496895A086_790;43032;41262;1;31224;31524;32870;[(43032, 41262, 2792702)]
0CDF4437E1A732F370741BC6FF105FB0373DFAE5_917;48050;42839;1;35575;35875;36882;[(48050, 42839, 2793062)]
