ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
0077ADEFB6607F15CDE023DBEB2557D9DB8A0C93_32;43509;41365;1;45110;45410;46944;[(43509, 41365, 2790817)]
023798BD13F6EA46304AD22A94B2BC6A6C16ED2F_143;41417;41876;1;36815;37115;40026;[(41417, 41876, 2791789)]
0323587B6B07DDBD72CA122642495B7E03EA0F30_215;41277;44160;1;37307;37607;38590;[(41277, 44160, 2791789)]
042ED1DF66D38AFD8592E614B5302972FE425C38_284;41895;41414;1;41018;41318;42460;[(41895, 41414, 2791953)]
08E2D0B66C6D157A5C4974A5FFF7DE672CF56AC7_629;41395;42140;1;45318;45618;47876;[(41395, 42140, 2790817)]
0B70EAC0D4A809400F476D36911D93800EFE8DC4_815;42112;42123;1;46618;46918;47624;[(42112, 42123, 2790817)]
0B8384E07796AB385263FE084A7C4F031A28D883_819;41982;41390;1;45531;45831;46726;[(41982, 41390, 2791450)]
0BFAAD11FDE33DE675106E41AE8B089FB9B247D5_866;46116;42840;1;45226;45526;46880;[(46116, 42840, 2791220)]
0C951621861AD2745EB47022F40EE70FE664FA96_904;42112;42003;1;46597;46897;48052;[(42112, 42003, 2790817)]
0ED1FC81352AF6B02503A27BA0CF58734C5D789D_1029;41033;41866;1;38047;38347;39656;[(41033, 41866, 2793139)]
13980F2DEB5376E4989669204029E8169B3114AC_1530;41200;41894;1;36657;36957;38353;[(41200, 41894, 2793446)]
1447D463276AECE5AA76298E671FB90BDF147F0A_1629;41613;41102;1;44862;45162;45856;[(41613, 41102, 2791220)]
16FB4B4E3559F165C131A768E436548FF97767AF_1943;41183;42483;1;37778;38078;39790;[(41183, 42483, 2790518)]
1721993507_1965;46614;41616;1;36399;36699;38138;[(46614, 41616, 2793351)]
1783497906_2164;42561;41393;1;45590;45890;46760;[(42561, 41393, 2791450)]
1885751859_2239;46021;42516;1;37183;37483;38322;[(46021, 42516, 2793179)]
1930683EC17EEC48C4D5883D12A1F0691E5D598F_2339;41286;42482;1;40970;41270;42156;[(41286, 42482, 2791702)]
1B13D5EABE258482C8110E4962D4E579C3AA4BF6_2466;41279;48150;1;45023;45323;47376;[(41279, 48150, 2791220)]
1BB5CF9F6D22C637B539EA68A59AA2DA26D2A02B_2506;41505;41339;1;44343;44643;46574;[(41505, 41339, 2790817)]
1FBC7756EC275A3D011D0B715868A3AD31241292_2760;42112;42178;1;46599;46899;48424;[(42112, 42178, 2790817)]
1FC86C003847CB4F10BE7734E7B67A563C3B8993_2766;41360;41395;1;45206;45506;46190;[(41360, 41395, 2790817)]
22057F6B030873226AA73311DA088698A1F76A14_2946;41865;41353;1;38039;38339;39310;[(41865, 41353, 2792942)]
23A68DEED16ABD9011CED8275FBCE02B8F8565D9_3049;41395;41327;1;45296;45596;46322;[(41395, 41327, 2790817)]
2615643E2B935F0CD9F9D9139C2F2C088AA9E50D_3270;43507;41365;1;45022;45322;46944;[(43507, 41365, 2790817)]
2766202EBD53735718241B3EB202BCE886E3AA2D_3384;41796;42773;1;45810;46110;48102;[(41796, 42773, 2792352)]
285148C240524708A4D3C4953E96A19ABA664C64_3431;42840;48150;1;45985;46285;47376;[(42840, 48150, 2791220)]
29A7FCA42874D646DCA5B80B7DE0DDC555A9E05C_3525;41424;41444;1;41778;42078;43106;[(41424, 41444, 2791953)]
2A16B2C6D65F811BEE334E98BC1B950D701D2851_3563;41426;41275;1;36987;37287;38162;[(41426, 41275, 2791789)]
2CA81A3DD9CB06E0A265318FC3F6039604FBB203_3737;43070;46604;1;45112;45412;46364;[(43070, 46604, 2790939)]
2D3EF4CD97F24655121ACCF2A1E4E7DE550FA811_3779;41395;42003;1;45311;45611;48052;[(41395, 42003, 2790817)]
2EB3A907EC6FF551D7B9F5E6373F6BB0B36C453D_3901;42828;41353;1;44555;44855;46740;[(42828, 41353, 2790817)]
3100706B0C7ADCF836BCCD830813E57ADEE2FDD7_4082;46018;43421;1;36948;37248;38784;[(46018, 43421, 2793179)]
3475A265F540D22D8AD39F246D8FF3B106DB1AB3_4327;42932;41937;1;40666;40966;43218;[(42932, 41937, 2793194)]
34F2BF25551BEBAEF382A1D0BBC758971B15BA9B_4363;42828;42112;1;44553;44853;47488;[(42828, 42112, 2790817)]
3534EACAB587288BA388B9DB61A33526A7AAB24D_4385;41611;41965;1;44806;45106;47774;[(41611, 41965, 2791220)]
374F39374F1AF9500522632E5590837F1FCFAD6F_4518;42112;42003;1;46595;46895;48052;[(42112, 42003, 2790817)]
386650208C7FAF65CAE1930C8AE07DD893D7DF99_4603;43148;41990;1;44970;45270;47926;[(43148, 41990, 2790817)]
38A8A05E53D3C7BAEFAAF0E080944530252F3B7F_4620;44903;46291;1;44231;44531;46894;[(44903, 46291, 2790939)]
38B0AA1C92D75DEDCA56407EFD3663B4F7667ECF_4623;41323;41339;1;45377;45677;46574;[(41323, 41339, 2790817)]
397C92A5A33CAD3CEB4923369A7BE5D8C784031A_4681;41865;43244;1;38067;38367;39951;[(41865, 43244, 2792942)]
3AC3AD13565B81DA9F11F25CC5027FA64CDE5F6E_4784;43210;41352;1;43892;44192;45310;[(43210, 41352, 2792896)]
3B1EF6661EE489F23C8BDB8F961B47082BB61B9F_4809;45030;42836;1;38414;38714;39396;[(45030, 42836, 2791789)]
3B5FFADC493F991516119A29427B18A62AC6CDC8_4832;41895;41461;1;41016;41316;42294;[(41895, 41461, 2791953)]
3D0457CA2C1CADC8ECBB029E41D3F11051A800DA_4964;46287;44913;1;40197;40497;42876;[(46287, 44913, 2793194)]
3D0457CA2C1CADC8ECBB029E41D3F11051A800DA_4965;44903;41786;1;44239;44539;47226;[(44903, 41786, 2790939)]
3D6E1A7E310C7ACE0577F27BCC1A82B1EA6ADF1C_5000;42112;42178;1;46605;46905;48424;[(42112, 42178, 2790817)]
3E81ADB81C4F3B1B921F2B139B9404582F45B969_5073;41414;41430;1;41575;41875;42836;[(41414, 41430, 2791953)]
3EDE274AE253716D3C12E786A8DF733EACEAA26B_5094;41193;43434;1;37659;37959;39262;[(41193, 43434, 2790518)]
41F8100C10054B91EDE88F3D2E9960CADD38A357_5288;41372;42180;1;46130;46430;48472;[(41372, 42180, 2790817)]
4A5E15858F626BE501366CDA03F42C178D749BE5_5850;42490;41058;1;41359;41659;42480;[(42490, 41058, 2791702)]
4B43367CD1A028F7584E2AEB10A2CC664D0A20C1_5917;41414;41444;1;41573;41873;43106;[(41414, 41444, 2791953)]
4C5C99D6ED9A65CC0D9E4EF4A720CD595D2C6DF3_5981;41417;43374;1;44161;44461;46530;[(41417, 43374, 2791597)]
4C8EE8536275DD9DA7C900E7951B942A4CA66C8D_6001;43248;48150;1;46237;46537;47376;[(43248, 48150, 2791220)]
4D204D8EDFEAB9BFBD44821CC22447149A0C609C_6037;41895;41414;1;41040;41340;42460;[(41895, 41414, 2791953)]
5376F24914D50FF7BEED71BD5BD877C6D8F7A948_6467;42574;42580;1;36753;37053;37796;[(42574, 42580, 2792411)]
54268FE087EB31053BFB67A501D15654FE05DBBB_6497;43434;42481;1;38368;38668;39834;[(43434, 42481, 2790518)]
553481C3E2463B8B26B80A1C3A105E5A4B0C60D2_6581;41384;42414;1;46259;46559;48212;[(41384, 42414, 2790817)]
56D4166A635AD16B8A45D9BBE1A03CAD62DF147E_6695;43509;41390;1;45100;45400;47236;[(43509, 41390, 2790817)]
5A6432469B30C59DF7968617AD076A053F19A936_6971;41393;42008;1;46372;46672;48130;[(41393, 42008, 2790817)]
5CA6EC54BDED0AD2F54A5E2F593EDE049E8BA09B_7106;41957;44903;1;43861;44161;45130;[(41957, 44903, 2790939)]
5EBF2A66D564C3CC65A523DE2DCE7CCC99B590ED_7231;42870;48150;1;45312;45612;47376;[(42870, 48150, 2791220)]
6115EE77F759F24192816E40AA2195D10E24692B_7382;46503;41958;1;42602;42902;44520;[(46503, 41958, 2792024)]
61CEFF20D9AEEA3B5ED2081DEF8493AD1B64E4A5_7414;41275;42854;1;44558;44858;47010;[(41275, 42854, 2791597)]
647331B5BA675A3A797214DD001ADEA6719EF0FE_7596;41015;41819;1;45617;45917;47288;[(41015, 41819, 2792567)]
69DAFCBAC07AF3F9B88EB53D1025645FA95C01A8_7929;41613;42855;1;44853;45153;46594;[(41613, 42855, 2791220)]
6C38DAA207B89E8C649579EB896929222AC429CB_8057;42828;41380;1;44557;44857;46142;[(42828, 41380, 2790817)]
71A8104A75CC2FE7C2C9C3021C177E3C6145F0D1_8425;41341;41146;1;44683;44983;45980;[(41341, 41146, 2791450)]
73292393AF0129F4859602DD5DB5D289D2CC668C_8521;43507;42411;1;45013;45313;48372;[(43507, 42411, 2790817)]
74208FF6A94132EED7FD03D112088F8C5BC606ED_8593;42561;41390;1;45577;45877;46726;[(42561, 41390, 2791450)]
761DC4867611F9EEE3E88C9F3077DA51C34CF907_8730;41395;42180;1;45308;45608;48472;[(41395, 42180, 2790817)]
77DE936DA42044BD4096BF1F5A01981CCD334F16_8845;42515;42488;1;37323;37623;38456;[(42515, 42488, 2793179)]
7892D1B49D9C41AEE4DD3DDC6D6D66EC82D4175C_8897;42868;48150;1;45356;45656;47376;[(42868, 48150, 2791220)]
78CC3CCCB28FC4993E6A7CCFFC54AD33025A6F36_8914;42516;42488;1;37442;37742;38456;[(42516, 42488, 2793179)]
7CAC892246B2DC0682469D56D570B4ECE6BCF8DC_9199;43069;41937;1;41245;41545;43218;[(43069, 41937, 2793194)]
7EC05E8F845FBB71187B276FA9E3784BBAEBCE5A_9373;42516;43421;1;37432;37732;38784;[(42516, 43421, 2793179)]
7F55523F3EDF67C597B8AF698E4ADE33ACBDE7D7_9416;43507;42112;1;45009;45309;47488;[(43507, 42112, 2790817)]
8132F25E4765873C4A67F331D9CDC48D90EB351E_9571;43295;43507;1;44149;44449;45908;[(43295, 43507, 2790817)]
8139DBAD84B13C2E40B793B185EBB8645ED3A9BA_9573;41348;42521;1;40544;40844;41556;[(41348, 42521, 2792024)]
83CCC7B1914B939631B7C8CC6A27FB85E0988A90_9743;41395;41331;1;45314;45614;46450;[(41395, 41331, 2790817)]
85B63D354D052C9113E8AA47DD507DC81B5AF630_9883;41958;41339;1;44774;45074;46574;[(41958, 41339, 2790817)]
870861925_10002;41895;41263;1;41030;41330;42218;[(41895, 41263, 2791953)]
870861928_10003;41263;41414;1;41355;41655;42460;[(41263, 41414, 2791953)]
9022A0803D53EC7E7C0CBB052FD68F507184E30F_10731;42516;42501;1;37438;37738;38606;[(42516, 42501, 2793179)]
91C7C4D91309CC4800D79CD36BBE152D3867BC7B_10853;42777;42931;1;41946;42246;46790;[(42777, 44170, 2792024), (44903, 42931, 2790939)]
9260F61F130D70D7489B7D434821FC5A74C957F3_10915;42515;44160;1;36638;36938;38590;[(42515, 44160, 2791789)]
927782ADC38BEB7C1CB53775101E45A326D7CF1F_10925;45042;48150;1;46101;46401;47376;[(45042, 48150, 2791220)]
92B79B1CD6B6DC3A804C9701A79BAE2CBF6468CA_10946;41341;41348;1;38279;38579;39250;[(41341, 41348, 2792942)]
92B8632C8073C0D2A68CDA6651F67F2EF93F3680_10951;41435;41450;1;42027;42327;43412;[(41435, 41450, 2791953)]
93570DD7EB5D905C4FF1321B8B9DF0E86D80798C_10998;43295;43507;1;44126;44426;45908;[(43295, 43507, 2790817)]
938A913F97FE91498AFA274BD9379FFFFA73D39D_11023;42836;41801;1;45788;46088;47270;[(42836, 41801, 2791597)]
95690DD1A112DE83E5E8B017C4BB8E4A374A446C_11145;41424;41435;1;41780;42080;42916;[(41424, 41435, 2791953)]
95747A993A7446D776C03BC1C71ED249D3A455B7_11150;43507;41334;1;45011;45311;46484;[(43507, 41334, 2790817)]
98E9A9A916A111ABBD929BC5F428D5A85C503225_11406;42562;41343;1;43647;43947;45436;[(42562, 41343, 2792896)]
9BAA17AA1E4FC03045EE447BD4B014F55DE15DF4_11601;41981;41352;1;43715;44015;45310;[(41981, 41352, 2792896)]
9CDC7E357FF15568CF4B957762B70C09FB14F6EE_11708;41964;43147;1;37860;38160;39094;[(41964, 43147, 2791789)]
9D4B02517817320A7A1E2D3BFB8B708CE56C7EC1_11732;43054;41896;1;37039;37339;38588;[(43054, 41896, 2793446)]
A359EC8A981D5F0858609B4164E09179573E1EAD_12132;42929;41937;1;40622;40922;43218;[(42929, 41937, 2793194)]
A463871D7ED4058171866E3907C632EFF7DE0A62_12222;43509;41372;1;45112;45412;47032;[(43509, 41372, 2790817)]
A5AAC22A77CCF605AB9BC6122E323C2D2E260152_12311;41613;48150;1;44893;45193;47376;[(41613, 48150, 2791220)]
A63D04A076C943F2B637DB9FB5105D942A6D929B_12356;41275;46470;1;44564;44864;45770;[(41275, 46470, 2791597)]
A7997CE314A0B163119A38C4F006A31977307910_12458;41348;42411;1;45798;46098;48372;[(41348, 42411, 2790817)]
A95F6AAE358BFE8744F36F7F650217478819CD98_12577;41342;42184;1;45176;45476;48512;[(41342, 42184, 2790817)]
AA957F5398AD9585FAA89F7DF256802AA0728CEB_12670;42929;41937;1;40616;40916;43218;[(42929, 41937, 2793194)]
B2451B91F23B55BD698C09F36D1C531DE207BC1A_13191;46280;42920;1;39843;40143;41192;[(46280, 42920, 2793194)]
B30C93842AB52B1E050EDCD8A3210593BCD44924_13248;43421;43424;1;37890;38190;38922;[(43421, 43424, 2793179)]
B3DF0DA04D18256B4926B8A6D4FC60480EBB0830_13305;41895;41410;1;41014;41314;42374;[(41895, 41410, 2791953)]
B42B5FDB5654402BAED5F37D2E6338D580E131BB_13326;42498;42481;1;38647;38947;39834;[(42498, 42481, 2790518)]
B449E911EC17F447ED7956E4812C1AC83FAF858E_13337;41483;44913;1;41335;41635;42876;[(41483, 44913, 2793194)]
B449E911EC17F447ED7956E4812C1AC83FAF858E_13338;44903;41481;1;44237;44537;45934;[(44903, 41481, 2790939)]
B4577C7153F192BF3D4F0A00EC74862F20F1CAE8_13347;46240;43018;1;37328;37628;38666;[(46240, 43018, 2790696)]
B558A36147A3BC6A63B93E9AC9A8EB83882060F9_13436;43422;43425;1;37953;38253;38960;[(43422, 43425, 2793179)]
B700610E7C2402892B02D491BAA34C647FE7E7EC_13536;41881;41797;1;38540;38840;40956;[(41881, 41797, 2793139)]
B71A420EFB5AF41916F05FB0ADEDFC1278D952F3_13547;42103;42140;1;46459;46759;47876;[(42103, 42140, 2790817)]
B8B8C0F4670BBA602EB442A437D89AD11A5DC9AC_13635;42488;42501;1;37559;37859;38606;[(42488, 42501, 2793179)]
B8CF7C0CF06AE0C443B3BB2100E13CA0C36D757F_13649;42505;42481;1;38522;38822;39834;[(42505, 42481, 2790518)]
B94ECED78CE42C526B886123989E0F448AFA34F2_13698;43295;43507;1;44147;44447;45908;[(43295, 43507, 2790817)]
BD7487BB4421160748F608387028B84574A9C414_13982;43403;42580;1;36331;36631;37796;[(43403, 42580, 2792411)]
BEA293C959D09D3143DCF884C0E1B55C00A84C90_14049;43507;41323;1;45020;45320;46274;[(43507, 41323, 2790817)]
BEBEE7E1E3569C4851CD09E62651B40A91CB3C29_14059;41275;46470;1;44562;44862;45770;[(41275, 46470, 2791597)]
BEE2E7486D401DE8539C5F2D4838F049C26924BF_14076;42112;41990;1;46601;46901;47926;[(42112, 41990, 2790817)]
BF6C520786369F9867C9524D654D4D6287C0D6BE_14122;42516;42501;1;37429;37729;38606;[(42516, 42501, 2793179)]
C0F8A42803D84CC2DB155795D8C657861476D2FF_14226;42929;41937;1;40620;40920;43218;[(42929, 41937, 2793194)]
C186AAB36DAEE7A75CCFD60FCF86D430430F68EB_14273;42952;42919;1;45244;45544;46558;[(42952, 42919, 2790939)]
C4034C9E080408DF77AE3706E0745C2B14EF9A02_14431;41865;41796;1;36632;36932;37664;[(41865, 41796, 2793215)]
C56C3962603D901FF9F5CD8F0DF56B3E5F0CB873_14534;41877;41795;1;38622;38922;40994;[(41877, 41795, 2793139)]
C617753378216C1A2C2363E5251A4CFBE0A0CB51_14595;41431;41416;1;41190;41490;42544;[(41431, 41416, 2791953)]
C66B8BFD5ADB1051BBF27038A96861F6F1EF5091_14623;42493;41058;1;41390;41690;42480;[(42493, 41058, 2791702)]
C70BECBE0689ECBA3430F9671C9E309270FDF86C_14676;42870;48150;1;45309;45609;47376;[(42870, 48150, 2791220)]
CA72789572D70F2DF16B62AEA0140D1209E830FC_14880;42513;42490;1;37388;37688;38482;[(42513, 42490, 2793179)]
CDBED1FEDEB9EC361E62A94596F7C8E71877C01D_15068;41461;41417;1;41400;41700;42584;[(41461, 41417, 2791953)]
CFFF1BF92638B420B550541AA5DF5B5A07027C48_15218;41393;42107;1;46369;46669;47412;[(41393, 42107, 2790817)]
D2E20692090334D37259D30B54BA56606BD062AE_15422;42112;42178;1;46611;46911;48424;[(42112, 42178, 2790817)]
D6A3F357C07772D7EAA85A66DE95A676F57E58E1_15668;41348;46504;1;46004;46304;48792;[(41348, 46504, 2792352)]
D9D0D6AA293BB2885A2D56D353F133BCB7FF0DC8_15896;41615;46509;1;44926;45226;47316;[(41615, 46509, 2791220)]
DA4758EF44B20D1EFA0AA639A21BC84CEF260428_15920;41895;41414;1;41019;41319;42460;[(41895, 41414, 2791953)]
DBDB1DF7D1D88BF07CEF8819A819239C2707D31C_16037;41613;48150;1;44889;45189;47376;[(41613, 48150, 2791220)]
DD98E7FF1C601AD9AF46D082991CADE84829880B_16146;42841;48150;1;46054;46354;47376;[(42841, 48150, 2791220)]
E2B56E4AA46D670125C8DCD9A8289E08955F75E1_16523;43509;41331;1;45107;45407;46450;[(43509, 41331, 2790817)]
E67023A1AD8A2663699A8B3D2593D84FD8B90557_16756;41937;41339;1;44833;45133;46574;[(41937, 41339, 2790817)]
E8E136089916CA33F846E3C1CCC6890D1CFCA2A1_16912;41341;41348;1;44686;44986;45670;[(41341, 41348, 2791450)]
EBF787D695FEA307A76D144D6F33DCCFAB84B3FB_17123;41426;41876;1;36995;37295;40026;[(41426, 41876, 2791789)]
EFC95EF36A88E0CACE80CCAB0EE4AAF2A4FA0758_17438;44160;41876;1;37689;37989;40026;[(44160, 41876, 2791789)]
F36D19E8D0CA71DDF8AAB0AADBB4662CB5693AC3_17685;41505;42826;1;40535;40835;41608;[(41505, 42826, 2791702)]
F3BE129EFC3832819EEA5931D93C035C1F2513C2_17712;43507;41353;1;45018;45318;46740;[(43507, 41353, 2790817)]
F3F57E1F1BDA704052C1B2B8AA4591B7964BE36E_17731;41410;43008;1;41486;41786;44064;[(41410, 43008, 2791953)]
F60DEFBBE2A93738A597ECB6E57043EB60EB0E09_17867;41424;41876;1;36894;37194;40026;[(41424, 41876, 2791789)]
F64601CFE70DAE8899B42DD4DEC9F271D02C2A2D_17883;42053;41894;1;37288;37588;38353;[(42053, 41894, 2793446)]
FBF1746D689739A497241182D0477F8F1F390C15_18274;42797;48150;1;44682;44982;47376;[(42797, 48150, 2791220)]
FD902B885C5AE369FA1E5A8021ABBBCFFD0A084F_18412;41380;41395;1;45249;45549;46190;[(41380, 41395, 2790817)]
