route_id,agency_id,route_short_name,route_long_name,route_type
12E,,,,bus1
12O,,,,bus1
144E,,,,bus1
144O,,,,bus1
151N,,,,bus1
151S,,,,bus1
17N,,,,bus1
17S,,,,bus1
20E,,,,bus1
20O,,,,bus1
222E,,,,bus1
222O,,,,bus1
22E,,,,bus1
22O,,,,bus1
24E,,,,bus1
24O,,,,bus1
252E,,,,bus1
252O,,,,bus1
26E,,,,bus1
26O,,,,bus1
27N,,,,bus1
27S,,,,bus1
2E,,,,bus1
2O,,,,bus1
313N,,,,bus1
313S,,,,bus1
31N,,,,bus1
31S,,,,bus1
33N,,,,bus1
33S,,,,bus1
36E,,,,bus1
36O,,,,bus1
37N,,,,bus1
37S,,,,bus1
39N,,,,bus1
39S,,,,bus1
402E,,,,bus1
402O,,,,bus1
404E,,,,bus1
40E,,,,bus1
40O,,,,bus1
41N,,,,bus1
41S,,,,bus1
42E,,,,bus1
42O,,,,bus1
43N,,,,bus1
43S,,,,bus2
45N,,,,bus2
45S,,,,bus2
46N,,,,bus2
46S,,,,bus2
48E,,,,bus2
48O,,,,bus2
50E,,,,bus2
50O,,,,bus2
52E,,,,bus2
52O,,,,bus2
55N,,,,bus2
55S,,,,bus2
56E,,,,bus2
56O,,,,bus2
58E,,,,bus2
58O,,,,bus2
60E,,,,bus2
60O,,,,bus2
61N,,,,bus2
61S,,,,bus2
63N,,,,bus2
63S,,,,bus2
65N,,,,bus2
65S,,,,bus2
66E,,,,bus2
66O,,,,bus2
70E,,,,bus2
70O,,,,bus2
73N,,,,bus2
73S,,,,bus2
74E,,,,bus2
74O,,,,bus2
76E,,,,bus2
76O,,,,bus2
901N,,,,bus2
901S,,,,bus2
902N,,,,bus2
902S,,,,bus2
903N,,,,bus2
903S,,,,bus2
925N,,,,bus2
925S,,,,bus2
942E,,,,bus2
942O,,,,bus2
